#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string
#default,mean,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_id,location,phase,source
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T09:30:00Z,0.05439329166666667,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T10:00:00Z,0.0438548798004233,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T10:30:00Z,0.042707012243047064,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T11:00:00Z,0.029197621666167257,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T11:30:00Z,0.03211436783705722,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T12:00:00Z,0.035983006849315075,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T12:30:00Z,0.034293910216178634,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T13:00:00Z,0.028921,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T13:30:00Z,0.027585350289975157,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T14:00:00Z,0.0301132871570697,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T14:30:00Z,0.02704760441375157,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T15:00:00Z,0.024880261395904938,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T15:30:00Z,0.04452488581258171,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,0,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,0.09078712447478994,power_active_kw,energy_per_phase,AI205,unknown,L1,mqtt_backend
,,1,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T11:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L2,mqtt_backend
,,1,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T12:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L2,mqtt_backend
,,1,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T12:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L2,mqtt_backend
,,1,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T13:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L2,mqtt_backend
,,1,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T13:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L2,mqtt_backend
,,1,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T14:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L2,mqtt_backend
,,1,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T14:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L2,mqtt_backend
,,1,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T15:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L2,mqtt_backend
,,1,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T15:30:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L2,mqtt_backend
,,1,2025-12-17T15:56:30.180146633Z,2025-12-24T15:56:30.180146633Z,2025-12-23T16:00:00Z,0,power_active_kw,energy_per_phase,AI205,unknown,L2,mqtt_backend
